CookerStat, GenerateAssetRegistry=0.023294, Initialize=0.112385, RunGuid=RunIDA9E3B9EA4B015DD0C1500E80AEF5FA7B
SavePackageTransactionIdE84C94B8498FC02CF75939ABB465A7C3_0, Filename=../../../../../../Users/Sean/Documents/Unreal Projects/Minithulhutrainer/Saved/Autosaves/Game/ThirdPersonBP/Minicthulhu_Auto1.uasset, AutoPackageBackupDelegate=39.666748, FlushAsyncLoading=0.007935, FlushStreamingFunc=0.041217, BlockTillAllRequestsFinished=0.005376, ResetLoadersForSaveUnMarkAllObjects=0.111617, TagPackageExports=1.360644, BeginCacheForCookedPlatformData=0.002049, SerializeImports=1.766145, GatherLocalizableTextData=16.745497, MarkNames=0.022016, SerializeSummary=0.012033, SerializeNames=0.101119, SerializeGatherableTextData=0.115715, BuildExportMap=0.081919, SortExportsNonSeekfree=0.168193, SortExportsSeekfreeConstructor=0.046846, SortExportsSeekfreeInner=2.513412, SortExportsSeekfree=0.002816, BuildDependencyMap=0.027649, SerializeImportMap=0.008706, SerializeExportMap=0.017408, SerializeDependencyMap=0.023298, SerializeStringAssetReferenceMap=0.002049, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.337150, SerializeExports=1.949701, SerializeBulkData=0.010494, MoveFile=13.951253, UnaccountedTime=0.191744, RunGuid=RunIDA9E3B9EA4B015DD0C1500E80AEF5FA7B
SavePackageTransactionIdE84C94B8498FC02CF75939ABB465A7C3_1, Filename=../../../../../../Users/Sean/Documents/Unreal Projects/Minithulhutrainer/Content/ThirdPersonBP/Minicthulhu.uasset, AutoPackageBackupDelegate=1.388293, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.040192, BlockTillAllRequestsFinished=0.002563, ResetLoadersForSaveUnMarkAllObjects=0.074495, TagPackageExports=1.441028, BeginCacheForCookedPlatformData=0.001281, SerializeImports=1.853187, GatherLocalizableTextData=16.659479, MarkNames=0.023551, SerializeSummary=0.010241, SerializeNames=0.097282, SerializeGatherableTextData=0.128768, BuildExportMap=0.084478, SortExportsNonSeekfree=0.180736, SortExportsSeekfreeConstructor=0.006400, SortExportsSeekfreeInner=2.726149, SortExportsSeekfree=0.002302, BuildDependencyMap=0.025857, SerializeImportMap=0.007171, SerializeExportMap=0.016894, SerializeDependencyMap=0.003327, SerializeStringAssetReferenceMap=0.001281, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.356097, SerializeExports=2.232835, SerializeBulkData=0.003070, MoveFile=1.211651, UnaccountedTime=0.954881, RunGuid=RunIDA9E3B9EA4B015DD0C1500E80AEF5FA7B
SavePackageTransactionIdE84C94B8498FC02CF75939ABB465A7C3_2, Filename=../../../../../../Users/Sean/Documents/Unreal Projects/Minithulhutrainer/Content/ThirdPersonBP/Minicthulhu.uasset, AutoPackageBackupDelegate=1.398530, FlushAsyncLoading=0.002049, FlushStreamingFunc=0.039425, BlockTillAllRequestsFinished=0.002559, ResetLoadersForSaveUnMarkAllObjects=0.068866, TagPackageExports=1.425154, BeginCacheForCookedPlatformData=0.001281, SerializeImports=1.871873, GatherLocalizableTextData=16.506907, MarkNames=0.022016, SerializeSummary=0.008449, SerializeNames=0.094205, SerializeGatherableTextData=0.128515, BuildExportMap=0.086784, SortExportsNonSeekfree=0.180990, SortExportsSeekfreeConstructor=0.005376, SortExportsSeekfreeInner=2.697989, SortExportsSeekfree=0.002306, BuildDependencyMap=0.026111, SerializeImportMap=0.007167, SerializeExportMap=0.016641, SerializeDependencyMap=0.005122, SerializeStringAssetReferenceMap=0.001535, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.302080, SerializeExports=2.252292, SerializeBulkData=0.002816, MoveFile=1.155075, UnaccountedTime=0.134144, RunGuid=RunIDA9E3B9EA4B015DD0C1500E80AEF5FA7B
